
=== Qwen3.5 (n=1418) ===
dom    direct   agent   blend  Δblend
D1     0.9194  0.9690  0.9724 +0.0529
D10    0.8007  0.8994  0.9019 +0.1013
D2     0.7249  0.7825  0.7799 +0.0550
D4     0.7939  0.7524  0.8074 +0.0135
D5     0.7014  0.6871  0.7433 +0.0419
D5b    0.8553  0.9317  0.9587 +0.1035
D5c    0.6244  0.6650  0.6756 +0.0511
D5d    0.9047  0.6474  0.8665 -0.0382
D6     0.7924  0.6803  0.7895 -0.0029
D7     0.9229  0.9397  0.9607 +0.0378
D8     0.6161  0.6858  0.6550 +0.0389
D9     0.5643  0.6154  0.6529 +0.0886
MACRO   0.7684  0.7713  0.8136 +0.0453

=== GPT-5.4 (n=1418) ===
dom    direct   agent   blend  Δblend
D1     0.9318  0.9683  0.9646 +0.0328
D10    0.8939  0.8849  0.9114 +0.0175
D2     0.8150  0.8036  0.8096 -0.0054
D4     0.7994  0.7879  0.7957 -0.0037
D5     0.7925  0.7765  0.7936 +0.0011
D5b    0.9643  0.9453  0.9610 -0.0033
D5c    0.7887  0.8462  0.8490 +0.0603
D5d    0.9008  0.9179  0.9144 +0.0136
D6     0.8557  0.8274  0.8386 -0.0171
D7     0.9721  0.9706  0.9736 +0.0015
D8     0.7042  0.7596  0.7585 +0.0543
D9     0.7371  0.7999  0.7944 +0.0574
MACRO   0.8463  0.8573  0.8637 +0.0174

=== SeedVL (n=1418) ===
dom    direct   agent   blend  Δblend
D1     0.8740  0.9247  0.9189 +0.0449
D10    0.8781  0.8606  0.9018 +0.0238
D2     0.8626  0.8143  0.8596 -0.0031
D4     0.6596  0.6610  0.6832 +0.0236
D5     0.7600  0.7242  0.7389 -0.0211
D5b    0.8643  0.7735  0.8447 -0.0196
D5c    0.4921  0.6686  0.5768 +0.0847
D5d    0.8764  0.8476  0.8872 +0.0108
D6     0.8215  0.7176  0.7947 -0.0269
D7     0.9364  0.9833  0.9897 +0.0533
D8     0.6765  0.6149  0.6512 -0.0253
D9     0.6508  0.7972  0.7619 +0.1111
MACRO   0.7794  0.7823  0.8007 +0.0214
